Badoo,badoo.com,
BlackPeopleMeet,blackpeoplemeet.com,
Bumble,bumbcdn.com,bumble.com
Chemistry,chemistry.com,
Christian Mingle,christianmingle.com,
Coffee Meets Bagel,coffeemeetsbagel.com,
DateHookup,datehookup.com,
eHarmony,eharmony.com,
EliteSingles,elitesingles.com,
GirlfriendsMeet,girlfriendsmeet.com,
Grindr,grindr.com,
HER,her.com,
Hinge,hinge.co,hingeaws.net
HowAboutWe,howaboutwe.com,
JDate,jdate.com,
Match,match.com,
OkCupid,okcupid.com,
OurTime,ourtime.com,
Plenty of Fish,pof.com,
SeniorPeopleMeet,seniorpeoplemeet.com,
SpeedDate,speeddate.com,
The Inner Circle,theinnercircle.co,
Tinder,tinder.com,
Zoosk,zoosk.com,