538 (FiveThirtyEight),538.com,
ABC News,abcnews.com,
Al Jazeera,aljazeera.com,
BBC,bbc.co.uk,bbc.com
Boing Boing,boingboing.net,
Breitbart,breitbart.com,
Brookings,brookings.edu,
CNN,cnn.com,
Common Dreams,commondreams.org,
Crowdpac,crowdpac.com,
Daily Caller,dailycaller.com,
Daily Dot,dailydot.com,
Daily Kos,dailykos.com,
Drudge Report,drudgereport.com,
Electoral Vote,electoral-vote.com,
First Look Media,firstlook.org,
FiveThirtyEight,fivethirtyeight.com,
Fox News,foxnews.com,
Free Republic,freerepublic.com,
Google News,news.google.com,
Huffington Post,huffingtonpost.com,huffpost.com
Indymedia,indymedia.org,
InfoWars,infowars.com,
LA Times,latimes.com,
MSNBC,msnbc.com,
National Review,nationalreview.com,
NBC News,nbcnews.com,
Newsmax,newsmax.com,
NPR,npr.org,
Politico,politico.com,
PolitiFact,politifact.com,
RealClearPolitics,realclearpolitics.com,
Reason,reason.com,
RedState,redstate.com,
RT (Russia Today),rt.com,
Salon,salon.com,
Slate,slate.com,
Talking Points Memo,talkingpointsmemo.com,
The Blaze,theblaze.com,
The Guardian,theguardian.com,
The Hill,thehill.com,
The Intercept,theintercept.com,
The Nation,thenation.com,
ThinkProgress,thinkprogress.org,
Time,time.com,
Townhall,townhall.com,
US News & World Report,usnews.com,
Vox,vox.com,
Wall Street Journal,wsj.com,wsj.net
Washington Post,washingtonpost.com,
Washington Times,washingtontimes.com,
Weekly Standard,weeklystandard.org,
WND (WorldNetDaily),wnd.com,
Yahoo News,news.yahoo.com,