ABC,abc.go.com,
Acorn TV,acorn.tv,
Apple TV+,tv.apple.com,
BritBox,britbox.com,
CBS,cbs.com,
Crackle,crackle.com,
Crunchyroll,crunchyroll.com,
CuriosityStream,curiositystream.com,
Dailymotion,dailymotion.com,
DirecTV Now,directvnow.com,
Discovery+,discoveryplus.com,
Disney Plus,disney-plus.net,disneyplus.com
Fox,fox.com,
FuboTV,fubo.tv,
HBO Go,hbogo.com,
HBO Now,hbonow.com,
Hulu,hulu.com,
Kanopy,kanopy.com,
NBC,nbc.com,
Netflix,netflix.com,
Paramount+,paramountplus.com,
Peacock,peacocktv.com,
Philo,philo.com,
PlayStation,playstation.com,
Plex,plex.tv,
Pluto TV,pluto.tv,
Prime Video,primevideo.com,
Rakuten Viki,viki.com,
Roku Channel,therokuchannel.roku.com,
Showtime,sho.com,
Shudder,shudder.com,
Sling TV,sling.com,
Starz,starz.com,
Tubi TV,tubitv.com,
Twitch,twitch.tv,
Vimeo,vimeo.com,
Xfinity,xfinity.com,
Yahoo View,view.yahoo.com,
YouTube,youtube.com,